Date,Time,Home,Away,Home LINE,Away LINE,Home Win,Away Win,Pick,Pick value,BH Away,BH Home,Away%,Home%,Away Team,Away Edge,Home Team,Home Edge,Risk,Result,Result Unit,Away Team,Home Team,MP Away,,,,MP Home,MP Away,MP Home,MP Away Edge,MP Home edge,Team,Risk,Result,
10/3/2018,7:05 PM,Toronto Maple Leafs,Montreal Canadiens,-235,210,71.04%,28.96%,Toronto Maple Leafs -235,1.34%,210,-235,32.26%,70.15%,Montreal Canadiens,-3.30%,Toronto Maple Leafs,0.89%,,,,,,,,,,,,,,,,,,
10/3/2018,7:50 PM,Washington Capitals,Boston Bruins,-105,-105,49.85%,50.15%,Boston Bruins -105,2.35%,-105,-105,51.22%,51.22%,Boston Bruins,-1.07%,Washington Capitals,-1.37%,,,,,,,,,,,SMA,,,,,,,
10/3/2018,10:05 PM,Vancouver Canucks,Calgary Flames,123,-136,41.55%,58.45%,Calgary Flames -136,2.55%,-136,123,57.63%,44.84%,Calgary Flames,0.82%,Vancouver Canucks,-3.29%,,,,,,212,,,,,Edge,Count,Away,Home,Total,,,
10/3/2018,10:35 PM,San Jose Sharks,Anaheim Ducks,-179,161,66.78%,33.22%,San Jose Sharks -179,4.28%,161,-179,38.31%,64.16%,Anaheim Ducks,-5.09%,San Jose Sharks,2.62%,,L,,,,164,,,,,3%,97,2.27,6.15,8.41,,,
10/4/2018,7:05 PM,Pittsburgh Penguins,Washington Capitals,-162,146,65.12%,34.88%,Pittsburgh Penguins -162,4.02%,146,-162,40.65%,61.83%,Washington Capitals,-5.77%,Pittsburgh Penguins,3.29%,82,W,3.29,,,,,,,,4%,85,54.9,31.09,85.99,,,
10/4/2018,7:05 PM,Carolina Hurricanes,New York Islanders,-169,152,55.41%,44.59%,New York Islanders 152,4.09%,152,-169,39.68%,62.83%,New York Islanders,4.91%,Carolina Hurricanes,-7.42%,123,W,7.46,,,0.563829787,,,,,5%,89,20.28,0.43,20.71,,,
10/4/2018,7:35 PM,Detroit Red Wings,Columbus Blue Jackets,117,-129,43.14%,56.86%,Columbus Blue Jackets -129,0.76%,-129,117,56.33%,46.08%,Columbus Blue Jackets,0.53%,Detroit Red Wings,-2.94%,,,,,,,,,,,Total,,77.44,37.67,115.11,,,
10/4/2018,7:35 PM,Ottawa Senators,Chicago Blackhawks,105,-116,44.26%,55.74%,Chicago Blackhawks -116,2.24%,-116,105,53.70%,48.78%,Chicago Blackhawks,2.04%,Ottawa Senators,-4.52%,,W,,,,,,,,,,,,,,,,
10/4/2018,7:35 PM,New York Rangers,Nashville Predators,152,-169,38.21%,61.79%,Nashville Predators -169,0.59%,-169,152,62.83%,39.68%,Nashville Predators,-1.04%,New York Rangers,-1.47%,,,,,,,,,,,Oct,,59.46,30.77,90.23,,,
10/4/2018,8:05 PM,St. Louis Blues,Winnipeg Jets,-105,-105,47.66%,52.34%,Winnipeg Jets -105,1.84%,-105,-105,51.22%,51.22%,Winnipeg Jets,1.12%,St. Louis Blues,-3.56%,,,,,,,,,,,Nov,,-8.38,51.26,42.88,,,
